,0,1,2,3,4
0,12980.0,0.0,0.0,0.0,0.0
1,7538.5,0.0,0.0,0.0,0.0
2,8.0,5.5,2.0,6.0,2.0
3,10763.0,0.0,0.0,0.0,0.0
4,8702.5,0.0,0.0,0.0,0.0
5,14604.5,0.0,0.0,0.0,0.0
6,13660.5,0.0,0.0,0.0,0.0
7,14354.0,0.0,0.0,0.0,0.0
8,13048.0,0.0,0.0,0.0,0.0
9,13225.0,0.0,0.0,0.0,0.0
10,13235.0,0.0,0.0,0.0,0.0
11,13916.0,0.0,0.0,0.0,0.0
12,8662.5,0.0,0.0,0.0,0.0
13,11247.0,0.0,0.0,0.0,0.0
14,12448.0,0.0,0.0,0.0,0.0
15,11253.5,0.0,0.0,0.0,0.0
16,13.5,27.5,16.5,9123.5,0.0
17,11342.0,0.0,0.0,0.0,0.0
18,14268.0,0.0,0.0,0.0,0.0
19,16.5,4.0,1.5,10.0,4.0
20,15957.5,0.0,0.0,0.0,0.0
21,13727.5,0.0,0.0,0.0,0.0
22,9794.5,0.0,0.0,0.0,0.0
23,14380.0,0.0,0.0,0.0,0.0
24,12068.5,0.0,0.0,0.0,0.0
25,10495.0,0.0,0.0,0.0,0.0
26,10386.0,0.0,0.0,0.0,0.0
27,10560.0,0.0,0.0,0.0,0.0
28,13304.5,0.0,0.0,0.0,0.0
29,2.0,0.5,0.5,6.0,12.5
30,17313.5,65.5,0.0,0.0,0.0
31,13941.5,0.0,0.0,0.0,0.0
32,20557.0,0.0,0.0,0.0,0.0
33,11195.5,0.0,0.0,0.0,0.0
34,15456.0,0.0,0.0,0.0,0.0
35,11224.0,0.0,0.0,0.0,0.0
36,52.5,17364.0,0.0,0.0,0.0
37,10453.5,0.0,0.0,0.0,0.0
38,45.5,14011.0,0.0,0.0,0.0
39,13693.0,0.0,0.0,0.0,0.0
40,18175.0,0.0,0.0,0.0,0.0
41,10050.0,0.0,0.0,0.0,0.0
42,9579.0,0.0,0.0,0.0,0.0
43,11382.0,0.0,0.0,0.0,0.0
44,10878.5,0.0,0.0,0.0,0.0
45,8225.0,0.0,0.0,0.0,0.0
46,13387.0,0.0,0.0,0.0,0.0
47,11419.0,0.0,0.0,0.0,0.0
48,10972.5,0.0,0.0,0.0,0.0
49,11060.0,0.0,0.0,0.0,0.0
50,10373.0,0.0,0.0,0.0,0.0
51,28.5,8825.0,0.0,0.0,0.0
52,10943.5,0.0,0.0,0.0,0.0
53,4.0,12502.5,0.0,0.0,0.0
54,570.0,15315.5,0.0,0.0,0.0
55,12364.5,0.0,0.0,0.0,0.0
56,12773.5,0.0,0.0,0.0,0.0
57,10159.5,0.0,0.0,0.0,0.0
58,9736.5,0.0,0.0,0.0,0.0
59,10049.0,0.0,0.0,0.0,0.0
60,9497.0,0.0,0.0,0.0,0.0
61,9769.5,0.0,0.0,0.0,0.0
62,13315.5,0.0,0.0,0.0,0.0
63,14346.5,0.0,0.0,0.0,0.0
64,13602.5,0.0,0.0,0.0,0.0
65,5057.5,0.0,0.0,0.0,0.0
66,4.0,15601.0,0.0,0.0,0.0
67,14063.5,0.0,0.0,0.0,0.0
68,8770.5,0.0,0.0,0.0,0.0
69,13288.0,0.0,0.0,0.0,0.0
70,13721.5,0.0,0.0,0.0,0.0
71,14514.5,0.0,0.0,0.0,0.0
72,12958.0,0.0,0.0,0.0,0.0
73,15792.5,0.0,0.0,0.0,0.0
74,10646.0,0.0,0.0,0.0,0.0
75,11886.5,0.0,0.0,0.0,0.0
76,13984.0,0.0,0.0,0.0,0.0
77,14.5,16.5,9098.0,0.0,0.0
78,15012.5,0.0,0.0,0.0,0.0
79,11499.0,0.0,0.0,0.0,0.0
80,11.0,57.0,9689.0,0.0,0.0
81,13582.5,0.0,0.0,0.0,0.0
82,10598.5,0.0,0.0,0.0,0.0
83,9690.5,0.0,0.0,0.0,0.0
84,11274.0,0.0,0.0,0.0,0.0
85,10386.5,0.0,0.0,0.0,0.0
86,12330.0,0.0,0.0,0.0,0.0
87,8641.0,0.0,0.0,0.0,0.0
88,9482.5,0.0,0.0,0.0,0.0
89,13784.0,0.0,0.0,0.0,0.0
90,13971.0,0.0,0.0,0.0,0.0
91,174.0,5804.5,0.0,0.0,0.0
92,10127.5,0.0,0.0,0.0,0.0
93,12967.0,0.0,0.0,0.0,0.0
94,12548.0,0.0,0.0,0.0,0.0
95,7441.5,0.0,0.0,0.0,0.0
96,10695.0,0.0,0.0,0.0,0.0
97,13125.5,0.0,0.0,0.0,0.0
98,14950.0,0.0,0.0,0.0,0.0
99,12903.5,0.0,0.0,0.0,0.0
100,12201.5,0.0,0.0,0.0,0.0
101,12923.0,0.0,0.0,0.0,0.0
102,12676.5,0.0,0.0,0.0,0.0
103,19597.5,0.0,0.0,0.0,0.0
104,9611.5,0.0,0.0,0.0,0.0
